"idhod","hodnota","duvernost","stapro_kod","dnn_cis","dnn_kod","sektor_cis","sektor_kod","ozp_cis","ozp_kod","rok","uzemi_cis","uzemi_kod","ukazatel_txt","ozp_txt","uzemi_txt","typ_uzemi"
"704462077","19079532","verejny","3780","5710","20",,,"2307","140","2007","97","19","Neinvestiční náklady na ochranu životního prostředí - vnitřní náklady","Ekologické nakládání s odpady","Česká republika",
"704462084","14697174","verejny","3780","5710","10",,,"2307","140","2007","97","19","Neinvestiční náklady na ochranu životního prostředí - vnější náklady","Ekologické nakládání s odpady","Česká republika",
"704462086","118206","verejny","3780","5710","10",,,"2307","113","2007","97","19","Neinvestiční náklady na ochranu životního prostředí - vnější náklady","Omezování hluku a vibrací (kromě ochrany pracovišť)","Česká republika",
"704872958","923034","verejny","3780",,,,,"2307","114","2007","97","19","Neinvestiční náklady na ochranu životního prostředí","Ochrana krajiny a biodiverzity (druhová rozmanitost)","Česká republika",
"704462076","4942420","verejny","3780","5710","20",,,"2307","111","2007","97","19","Neinvestiční náklady na ochranu životního prostředí - vnitřní náklady","Ekologické nakládání s odpadními vodami","Česká republika",
"704462080","245878","verejny","3780","5710","20",,,"2307","114","2007","97","19","Neinvestiční náklady na ochranu životního prostředí - vnitřní náklady","Ochrana krajiny a biodiverzity (druhová rozmanitost)","Česká republika",
"704462087","677156","verejny","3780","5710","10",,,"2307","114","2007","97","19","Neinvestiční náklady na ochranu životního prostředí - vnější náklady","Ochrana krajiny a biodiverzity (druhová rozmanitost)","Česká republika",
"704872952","33776706","verejny","3780",,,,,"2307","140","2007","97","19","Neinvestiční náklady na ochranu životního prostředí","Ekologické nakládání s odpady","Česká republika",
"704872954","2611035","verejny","3780",,,,,"2307","112","2007","97","19","Neinvestiční náklady na ochranu životního prostředí","Ochrana a sanace půdy, podzemních a povrchových vod","Česká republika",
"704462075","2103280","verejny","3780","5710","20",,,"2307","130","2007","97","19","Neinvestiční náklady na ochranu životního prostředí - vnitřní náklady","Ochrana ovzduší a klimatu","Česká republika",
"704872941","21151996","verejny","3780","5710","10",,,,,"2007","97","19","Neinvestiční náklady na ochranu životního prostředí - vnější náklady",,"Česká republika",
"704462078","1657752","verejny","3780","5710","20",,,"2307","112","2007","97","19","Neinvestiční náklady na ochranu životního prostředí - vnitřní náklady","Ochrana a sanace půdy, podzemních a povrchových vod","Česká republika",
"704462082","1048649","verejny","3780","5710","10",,,"2307","130","2007","97","19","Neinvestiční náklady na ochranu životního prostředí - vnější náklady","Ochrana ovzduší a klimatu","Česká republika",
"704462083","3146740","verejny","3780","5710","10",,,"2307","111","2007","97","19","Neinvestiční náklady na ochranu životního prostředí - vnější náklady","Ekologické nakládání s odpadními vodami","Česká republika",
"704872939","49693385","verejny","3780",,,,,,,"2007","97","19","Neinvestiční náklady na ochranu životního prostředí",,"Česká republika",
"704872948","3151929","verejny","3780",,,,,"2307","130","2007","97","19","Neinvestiční náklady na ochranu životního prostředí","Ochrana ovzduší a klimatu","Česká republika",
"704462079","18118","verejny","3780","5710","20",,,"2307","113","2007","97","19","Neinvestiční náklady na ochranu životního prostředí - vnitřní náklady","Omezování hluku a vibrací (kromě ochrany pracovišť)","Česká republika",
"704872950","8089160","verejny","3780",,,,,"2307","111","2007","97","19","Neinvestiční náklady na ochranu životního prostředí","Ekologické nakládání s odpadními vodami","Česká republika",
"704872956","136324","verejny","3780",,,,,"2307","113","2007","97","19","Neinvestiční náklady na ochranu životního prostředí","Omezování hluku a vibrací (kromě ochrany pracovišť)","Česká republika",
"704462085","953283","verejny","3780","5710","10",,,"2307","112","2007","97","19","Neinvestiční náklady na ochranu životního prostředí - vnější náklady","Ochrana a sanace půdy, podzemních a povrchových vod","Česká republika",
"704872960","56402","verejny","3780",,,,,"2307","115","2007","97","19","Neinvestiční náklady na ochranu životního prostředí","Ochrana proti záření","Česká republika",
