"idhod","amount","year","confidentiality","location","non_investment_expense_type","program","sector","type_of_expense"
704874219,10789177,2010,"verejny","Česká republika",NULL,NULL,"Government institutions","Gross investment in tangible non-current assets"
704874267,323222,2010,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)","Government institutions","Gross investment in tangible non-current assets"
704874228,219557,2010,"verejny","Česká republika",NULL,"Air and climate protection","Government institutions","Gross investment in tangible non-current assets"
704874255,505396,2010,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water","Government institutions","Gross investment in tangible non-current assets"
704874218,11857586,2010,"verejny","Česká republika",NULL,NULL,"Non-financial enterprises","Gross investment in tangible non-current assets"
704874254,1882505,2010,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water","Non-financial enterprises","Gross investment in tangible non-current assets"
704874246,865755,2010,"verejny","Česká republika",NULL,"Waste management","Government institutions","Gross investment in tangible non-current assets"
704874261,723523,2010,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)","Government institutions","Gross investment in tangible non-current assets"
704874236,1448296,2010,"verejny","Česká republika",NULL,"Wastewater management","Non-financial enterprises","Gross investment in tangible non-current assets"
704874266,117512,2010,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)","Non-financial enterprises","Gross investment in tangible non-current assets"
704874227,3339489,2010,"verejny","Česká republika",NULL,"Air and climate protection","Non-financial enterprises","Gross investment in tangible non-current assets"
704874260,207372,2010,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)","Non-financial enterprises","Gross investment in tangible non-current assets"
704874237,7589282,2010,"verejny","Česká republika",NULL,"Wastewater management","Government institutions","Gross investment in tangible non-current assets"
704874277,10022,2010,"verejny","Česká republika",NULL,"Research and development for environmental protection","Non-financial enterprises","Gross investment in tangible non-current assets"
704874272,713521,2010,"verejny","Česká republika",NULL,"Radiation protection","Non-financial enterprises","Gross investment in tangible non-current assets"
1331005543,1902734,2023,"verejny","Jihočeský kraj",NULL,NULL,NULL,"Gross investment in tangible non-current assets"
704874278,603,2010,"verejny","Česká republika",NULL,"Research and development for environmental protection","Government institutions","Gross investment in tangible non-current assets"
704874284,561839,2010,"verejny","Česká republika",NULL,"Other environmental protection activities","Government institutions","Gross investment in tangible non-current assets"
704874283,1346969,2010,"verejny","Česká republika",NULL,"Other environmental protection activities","Non-financial enterprises","Gross investment in tangible non-current assets"
704462304,208968,2010,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Turnover from selling of services"
704874247,31157327,2010,"verejny","Česká republika",NULL,"Waste management",NULL,"Turnover from selling of services"
704462302,756711,2010,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Turnover from selling of services"
704874220,39990381,2010,"verejny","Česká republika",NULL,NULL,NULL,"Turnover from selling of services"
704874229,509984,2010,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Turnover from selling of services"
704874238,7280229,2010,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Turnover from selling of services"
704462303,NULL,2010,"duverny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Turnover from selling of services"
704462318,NULL,2010,"duverny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Capitalized output (methodology valid until 2015)"
704874249,876956,2010,"verejny","Česká republika",NULL,"Waste management",NULL,"Capitalized output (methodology valid until 2015)"
704462316,6890,2010,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Capitalized output (methodology valid until 2015)"
704874222,981622,2010,"verejny","Česká republika",NULL,NULL,NULL,"Capitalized output (methodology valid until 2015)"
704874231,30867,2010,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Capitalized output (methodology valid until 2015)"
704874240,57124,2010,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Capitalized output (methodology valid until 2015)"
704462317,0,2010,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Capitalized output (methodology valid until 2015)"
704874215,30181482,2010,"verejny","Česká republika","Internal non-investment costs",NULL,NULL,"Non-investment environmental protection expenditure"
704874242,18977295,2010,"verejny","Česká republika","Internal non-investment costs","Waste management",NULL,"Non-investment environmental protection expenditure"
704874243,15833328,2010,"verejny","Česká republika","External non-investment costs","Waste management",NULL,"Non-investment environmental protection expenditure"
704874258,49386,2010,"verejny","Česká republika","External non-investment costs","Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
704874262,1545483,2010,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
704874233,6176385,2010,"verejny","Česká republika","Internal non-investment costs","Wastewater management",NULL,"Non-investment environmental protection expenditure"
704874263,376475,2010,"verejny","Česká republika","Internal non-investment costs","Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
704874264,1169008,2010,"verejny","Česká republika","External non-investment costs","Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
704874241,34810623,2010,"verejny","Česká republika",NULL,"Waste management",NULL,"Non-investment environmental protection expenditure"
704874250,2713490,2010,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
704874224,2307769,2010,"verejny","Česká republika","Internal non-investment costs","Air and climate protection",NULL,"Non-investment environmental protection expenditure"
704874216,23259859,2010,"verejny","Česká republika","External non-investment costs",NULL,NULL,"Non-investment environmental protection expenditure"
704874251,1685118,2010,"verejny","Česká republika","Internal non-investment costs","Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
704874225,1148716,2010,"verejny","Česká republika","External non-investment costs","Air and climate protection",NULL,"Non-investment environmental protection expenditure"
704874234,3397452,2010,"verejny","Česká republika","External non-investment costs","Wastewater management",NULL,"Non-investment environmental protection expenditure"
704874214,53441341,2010,"verejny","Česká republika",NULL,NULL,NULL,"Non-investment environmental protection expenditure"
704874223,3456485,2010,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Non-investment environmental protection expenditure"
704874257,35992,2010,"verejny","Česká republika","Internal non-investment costs","Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
704874232,9573837,2010,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Non-investment environmental protection expenditure"
704874256,85378,2010,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
704874252,1028372,2010,"verejny","Česká republika","External non-investment costs","Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
704874268,5804,2010,"verejny","Česká republika",NULL,"Radiation protection",NULL,"Non-investment environmental protection expenditure"
704874273,151070,2010,"verejny","Česká republika",NULL,"Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
704874279,1099171,2010,"verejny","Česká republika",NULL,"Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
704874270,4713,2010,"verejny","Česká republika","External non-investment costs","Radiation protection",NULL,"Non-investment environmental protection expenditure"
704874269,1091,2010,"verejny","Česká republika","Internal non-investment costs","Radiation protection",NULL,"Non-investment environmental protection expenditure"
704874274,87741,2010,"verejny","Česká republika","Internal non-investment costs","Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
704874275,63329,2010,"verejny","Česká republika","External non-investment costs","Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
704874281,565555,2010,"verejny","Česká republika","External non-investment costs","Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
704874280,533616,2010,"verejny","Česká republika","Internal non-investment costs","Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
704462311,2435,2010,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Revenues from sale of by-products"
704874248,9989502,2010,"verejny","Česká republika",NULL,"Waste management",NULL,"Revenues from sale of by-products"
704462309,28518,2010,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Revenues from sale of by-products"
704874221,10615629,2010,"verejny","Česká republika",NULL,NULL,NULL,"Revenues from sale of by-products"
704874230,360684,2010,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Revenues from sale of by-products"
704874239,177703,2010,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Revenues from sale of by-products"
704462310,0,2010,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Revenues from sale of by-products"
